customer_id,region,segment,signup_date
C0001,North,SMB,2022-09-08
C0002,South,Enterprise,2023-11-24
C0003,North,enterprise,2022-01-31
C0004,North,Enterprise,2023-09-09
C0005,North,enterprise,2023-10-28
C0006,West,Enterprise,2022-10-12
C0007,North,Enterprise,2022-12-15
C0008,East,Enterprise,2024-02-21
C0009,East,SMB,
C0010,North,Mid-Market,2023-09-11
C0011,East,SMB,2023-07-04
C0012,North,smb,
C0013,East,mid-market,2024-06-01
C0014,East,enterprise,2022-03-13
C0015,North,mid-market,2022-10-24
C0016,North,Enterprise,2023-01-25
C0017,East,smb,2023-01-09
C0018,South,Mid-Market,2023-11-18
C0019,East,mid-market,2023-10-26
C0020,North,enterprise,2023-07-01
C0021,South,Enterprise,2022-10-04
C0022,South,mid-market,2024-02-26
C0023,North,Enterprise,2024-04-04
C0024,East,smb,2022-08-05
C0025,East,Enterprise,2023-02-10
C0026,West,Enterprise,2022-09-10
C0027,East,mid-market,2023-08-21
C0028,West,Mid-Market,2022-05-22
C0029,West,SMB,2024-05-31
C0030,North,Enterprise,2024-03-22
C0031,West,enterprise,
C0032,West,enterprise,2023-06-26
C0033,East,enterprise,2022-01-12
C0034,North,mid-market,2024-02-08
C0035,East,mid-market,2022-10-28
C0036,West,Enterprise,2024-01-10
C0037,East,enterprise,2023-06-04
C0038,North,mid-market,2023-10-17
C0039,South,Enterprise,2022-06-15
C0040,North,enterprise,2022-01-20
C0041,North,Mid-Market,2024-05-01
C0042,East,Enterprise,
C0043,North,SMB,2024-04-15
C0044,North,enterprise,2022-05-12
C0045,West,enterprise,2023-06-25
C0046,West,Enterprise,2024-02-13
C0047,South,mid-market,2023-11-19
C0048,East,smb,2023-04-08
C0049,North,Enterprise,2022-12-13
C0050,North,enterprise,2023-08-26
C0051,South,SMB,
C0052,North,Enterprise,
C0053,North,Mid-Market,
C0054,South,Mid-Market,2022-08-08
C0055,South,mid-market,2023-08-08
C0056,West,Enterprise,2024-04-06
C0057,West,Enterprise,
C0058,West,Mid-Market,2023-04-24
C0059,North,mid-market,2023-10-24
C0060,North,SMB,2022-12-14
C0061,North,Enterprise,2023-07-04
C0062,West,Enterprise,2022-10-13
C0063,West,Enterprise,2022-03-19
C0064,West,enterprise,
C0065,North,SMB,2024-05-19
C0066,South,Enterprise,2023-05-08
C0067,South,smb,2022-06-18
C0068,West,SMB,2022-09-29
C0069,West,Mid-Market,2024-01-19
C0070,West,Enterprise,2022-08-11
C0071,North,enterprise,2022-03-04
C0072,East,SMB,
C0073,West,enterprise,2023-06-28
C0074,South,SMB,2022-03-24
C0075,South,SMB,2023-11-23
C0076,South,smb,2023-08-07
C0077,South,enterprise,2023-09-27
C0078,North,smb,2023-08-02
C0079,East,Mid-Market,2024-01-04
C0080,East,Enterprise,2022-05-15
C0081,East,smb,2024-02-09
C0082,North,SMB,2023-07-31
C0083,North,SMB,2023-06-03
C0084,East,Enterprise,2022-03-12
C0085,South,Mid-Market,2023-03-25
C0086,East,enterprise,2024-04-06
C0087,North,mid-market,2022-11-03
C0088,North,Enterprise,2022-04-20
C0089,South,Mid-Market,2022-08-04
C0090,East,Enterprise,2024-05-23
C0091,East,enterprise,2024-05-16
C0092,North,SMB,2024-04-29
C0093,East,SMB,
C0094,South,mid-market,2022-06-15
C0095,West,enterprise,2023-07-29
C0096,North,SMB,
C0097,South,enterprise,
C0098,East,enterprise,2023-03-17
C0099,South,SMB,2024-03-26
C0100,North,Mid-Market,2022-09-13
C0101,North,Mid-Market,2024-06-14
C0102,West,enterprise,2022-08-31
C0103,South,Enterprise,2022-01-26
C0104,South,mid-market,2024-03-12
C0105,West,mid-market,2024-04-10
C0106,South,Mid-Market,2023-12-20
C0107,North,smb,2024-05-29
C0108,West,Enterprise,2023-04-17
C0109,East,Mid-Market,2024-06-11
C0110,South,Enterprise,
C0111,South,smb,2024-06-04
C0112,North,Mid-Market,2023-06-06
C0113,West,mid-market,2023-07-04
C0114,East,SMB,2022-09-25
C0115,South,enterprise,2022-09-29
C0116,North,SMB,2022-12-20
C0117,East,smb,2023-06-08
C0118,North,smb,2022-07-14
C0119,East,SMB,2022-01-02
C0120,South,Mid-Market,2023-11-12
C0121,East,enterprise,2024-05-18
C0122,North,mid-market,2023-06-04
C0123,East,mid-market,2023-02-17
C0124,East,enterprise,2023-03-07
C0125,West,mid-market,2022-06-28
C0126,East,smb,2022-01-01
C0127,East,Mid-Market,2024-03-15
C0128,East,smb,2023-11-23
C0129,South,enterprise,2024-03-26
C0130,South,mid-market,
C0131,East,SMB,2024-02-09
C0132,South,mid-market,2024-04-05
C0133,South,Enterprise,
C0134,South,smb,2024-02-26
C0135,North,smb,2023-10-07
C0136,South,mid-market,2023-05-22
C0137,West,Enterprise,2023-12-06
C0138,North,SMB,2022-08-13
C0139,South,mid-market,2022-02-21
C0140,South,SMB,2024-03-31
C0060,North,SMB,2022-12-14
C0086,East,enterprise,2024-04-06
C0068,West,SMB,2022-09-29
C0072,East,SMB,
C0077,South,enterprise,2023-09-27
C0041,North,Mid-Market,2024-05-01
C0097,South,enterprise,
C0057,West,Enterprise,
C0079,East,Mid-Market,2024-01-04
C0093,East,SMB,
